Student-ID,Name,Age,Contact ,Address,Email Address,Department
2022515689,Alice Johnson,20,1234567890,"123 Elm St, Springfield",alice.johnson@email.com,SHS
2022394915,Ben Carter,22,9876543210,"456 Oak Rd, Riverdale",ben.carter@email.com,JHS
2020394453,Clara Smith,19,5551234567,"789 Pine Ave, Maple City",clara.smith@email.com,GS
2024178625,Daniel Brown,21,4449871234,"101 Birch Ln, Hillside",daniel.brown@email.com,SHS
2017566690,Emily Davis,20,3334567890,"202 Cedar St, Lakeview",emily.davis@email.com,JHS
2020476627,Frank Wilson,23,2227894561,"303 Maple Dr, Brookfield",frank.wilson@email.com,GS
2018650514,Grace Lee,18,1116549872,"404 Walnut Way, Fairmont",grace.lee@email.com,JHS
2024627458,Henry Thomas,21,9993216540,"505 Ash St, Clearwater",henry.thomas@email.com,SHS
2024120883,Ivy Martinez,19,8884321098,"606 Cypress Rd, Belmont",ivy.martinez@email.com,GS
2021253392,Jack Robinson,22,7778901234,"707 Spruce Blvd, Greendale",jack.robinson@email.com,JHS
2022866480,Kelly Anderson,20,1236784321,"808 Willow St, Bayside",kelly.anderson@email.com,SHS
2017352377,Leo Turner,22,8765432190,"909 Chestnut Ln, Greenhill",leo.turner@email.com,JHS
2021529203,Mia Perez,19,5678901234,"1010 Magnolia Ave, Pinewood",mia.perez@email.com,GS
2024129253,Noah Harris,21,4321098765,"1111 Aspen Dr, Stonebridge",noah.harris@email.com,SHS
2017639860,Olivia White,20,6543210987,"1212 Dogwood Way, Rivertown",olivia.white@email.com,GS
